Symbol,Price_Tightness_1W
FORTY,0.0
PLYA,0.3600373372053429
SWTX,0.46968403074296744
CIXXF,0.4778453518679384
RDUS,0.6056527590847904
FYBR,0.6310013717421233
BPMC,0.6316281971303823
EVRI,0.6692497358224773
CFSB,0.7299270072992675
FARO,0.7513500821789159
TGI,0.77041602465331
SVT,0.8306709265175731
TXNM,1.2451771308312887
LSBK,1.7034700315457385
SCHW,1.9627749576988256
UBOH,1.9963702359346667
BMO,2.0439963336388542
RBKB,2.0442930153321996
IBDRY,2.160953800298061
MNST,2.2333281274402617
SLF,2.303233679072613
ALIZY,2.3457734145679523
HSBC,2.3797719385225546
ING,2.380952380952388
FMS,2.387543252595148
SENEB,2.3917748917749
PBH,2.4171993027309684
NWG,2.4725274725274806
TLGPY,2.521793275217929
CPBI,2.550335570469804
MUFG,2.560455192034148
SONY,2.561247216035639
FHI,2.601969057665259
CM,2.604920405209837
TELNY,2.613855035279029
KRYAY,2.6190689747959475
GTPS,2.631578947368421
FNCH,2.654545454545456
NRDBY,2.667116812964222
BBVA,2.692055154300723
YARIY,2.699784017278618
MURGY,2.7047332832456887
CCHGY,2.714258876573349
LZAGY,2.800400057151013
NI,2.8564269606614725
CTAS,2.8659919734775876
PCLB,2.870397216584523
X,2.8761061946902697
KBCSY,2.8905167293605243
RBA,2.8951560011243354
AMADY,2.8993116322482786
FRFHF,2.9052941176470646
NTR,2.937797472509436
CTVA,2.973720608575369
V,2.975741239892189
ORANY,2.9790115098171936
BK,2.983425414364644
MA,2.997496447662209
AXAHY,3.066230580539657
PM,3.0770903555507214
BKNG,3.104065819103844
TT,3.1372639019576374
MGYR,3.1637717121588187
ESLOY,3.1954473521489857
T,3.23498044792037
INTU,3.2464929859719454
MO,3.252299605781872
ABT,3.2539565153083907
AER,3.283278187834058
CFRUY,3.287380699893961
SBS,3.2882011605415844
BCS,3.2912781130005566
BNPQY,3.2983174574913185
DANOY,3.356481481481492
ICE,3.3777433799546603
MYTAY,3.3957845433255307
ADRNY,3.4369114877589304
FER,3.441064638783274
BOTJ,3.4482758620689653
BLX,3.460620525059656
USFD,3.4639123315279003
ENB,3.499156829679588
UFCS,3.525305410122157
HMN,3.562514181983209
PAYX,3.5723145621434007
UGI,3.5841313269493713
GBNY,3.6210018105009034
MT,3.626943005181339
DB,3.6344389555398773
BCH,3.664072632944225
AM,3.6678019386953067
SAP,3.6737315350032107
ADP,3.6765374473373122
BFC,3.688489516474102
WMB,3.710333604556552
SSREY,3.7159920371599195
PSMT,3.7182892206246017
JAPSY,3.7356321839080344
DRI,3.7456406540151193
CHKP,3.7685002994268126
CAH,3.7827905208465338
AL,3.7835986988529253
MKL,3.7987383142053672
LBRDA,3.816712736551141
EPR,3.817194887060059
STN,3.826674169949351
PINC,3.831417624521067
SLM,3.8578371810449665
DTEGY,3.867827868852454
RPRX,3.8857815719752735
ISNPY,3.901591895803181
SPR,3.905447070914705
TPR,3.910056214865704
MCK,3.943130832117604
NFG,3.9753174320635987
GHC,3.976621356043238
LBRDK,3.9924154640261307
RTX,4.011623786235734
EXEL,4.061145334245953
CAAP,4.07088122605363
SIEGY,4.072059444263039
OPOF,4.074534161490685
FOX,4.074868395398706
WMT,4.083655466349494
HDB,4.102366255144048
RYAAY,4.129077029840393
HWM,4.135401974612137
WTS,4.143088116410671
BSAC,4.158336665333877
MMM,4.2161799261497155
BMI,4.268197438300523
FOXA,4.27502671891699
IPI,4.318067490818863
JOYY,4.320358671285913
EHC,4.320636725412161
CHTR,4.325948178745769
ANPDY,4.382789222439371
SSBK,4.3877258388299225
ONIT,4.40251572327044
DNKEY,4.452054794520548
TCEHY,4.4665761279613605
BWFG,4.485929228197268
LPLA,4.489911177286031
GBFH,4.499999999999993
EQT,4.5112781954887184
TKOMY,4.511876349585179
EXE,4.53182272575809
ESQ,4.536532170119952
THFF,4.551565200691372
CBNK,4.5567265964042125
WELL,4.560051380860626
NRIM,4.567255286679745
SNEX,4.580509464828233
GNTY,4.602909611256855
NYAX,4.617385649252119
FAST,4.633569739952705
BHF,4.6581267675927425
VSEC,4.682175137057337
AXS,4.701931150293864
HBCP,4.703595724003891
JCI,4.711538461538467
WOR,4.729950900163667
ULTA,4.730543898283954
DE,4.749049429657798
RSG,4.80386473429952
NTDOY,4.828879512423805
SNOW,4.850346785830665
NTB,4.895426338772686
GTX,4.928909952606648
BAP,4.942137508509184
GFL,4.943114947038047
SXT,4.9443252630503665
NRG,4.96519435717366
SIBN,4.966373512674585
BA,4.981718464351008
TRP,5.0394306597422664
NTNX,5.0460451621042015
PAC,5.066244479626696
FTNT,5.085551330798487
ACNT,5.088495575221248
CCB,5.113890129522106
IFS,5.119735755573904
GE,5.161766419388674
SPNT,5.175038051750378
NEU,5.1940734875363574
TTWO,5.2106004352835775
MYFW,5.230914231856736
MGIC,5.231143552311442
IMAX,5.2427867698803725
ESE,5.246897139508866
UNM,5.248585530275671
NFLX,5.27078499536747
CSV,5.284015852047553
SWDBY,5.307971014492753
NIC,5.334206005072413
TRV,5.3629917575495725
PUK,5.3749999999999964
MDWD,5.39880026660742
CVLT,5.407801418439719
WRB,5.408271474019085
ULS,5.4132631870414105
VRSN,5.432384154670586
TIPT,5.448997384481255
APH,5.463258785942502
