Symbol,Price_Tightness_1W
FORTY,0.0
PLYA,0.3600373372053429
SWTX,0.46968403074296744
CIXXF,0.4778453518679384
BPMC,0.6316281971303823
CFSB,0.7299270072992675
TGI,0.77041602465331
SVT,0.8306709265175731
TXNM,1.2451771308312887
LSBK,1.7034700315457385
UBOH,1.9963702359346667
BMO,2.0439963336388542
IBDRY,2.160953800298061
MNST,2.2333281274402617
SLF,2.303233679072613
ALIZY,2.3457734145679523
HSBC,2.3797719385225546
ING,2.380952380952388
FMS,2.387543252595148
SENEB,2.3917748917749
TLGPY,2.521793275217929
FHI,2.601969057665259
CM,2.604920405209837
TELNY,2.613855035279029
KRYAY,2.6190689747959475
GTPS,2.631578947368421
FNCH,2.654545454545456
NRDBY,2.667116812964222
YARIY,2.699784017278618
MURGY,2.7047332832456887
CCHGY,2.714258876573349
LZAGY,2.800400057151013
CTAS,2.8659919734775876
PCLB,2.870397216584523
X,2.8761061946902697
KBCSY,2.8905167293605243
AMADY,2.8993116322482786
FRFHF,2.9052941176470646
NTR,2.937797472509436
ORANY,2.9790115098171936
AXAHY,3.066230580539657
BKNG,3.104065819103844
TT,3.1372639019576374
ESLOY,3.1954473521489857
INTU,3.2464929859719454
CFRUY,3.287380699893961
SBS,3.2882011605415844
BNPQY,3.2983174574913185
DANOY,3.356481481481492
MYTAY,3.3957845433255307
ADRNY,3.4369114877589304
FER,3.441064638783274
BOTJ,3.4482758620689653
USFD,3.4639123315279003
GBNY,3.6210018105009034
MT,3.626943005181339
ADP,3.6765374473373122
BFC,3.688489516474102
SSREY,3.7159920371599195
JAPSY,3.7356321839080344
AL,3.7835986988529253
MKL,3.7987383142053672
STN,3.826674169949351
PINC,3.831417624521067
DTEGY,3.867827868852454
ISNPY,3.901591895803181
SPR,3.905447070914705
MCK,3.943130832117604
NFG,3.9753174320635987
GHC,3.976621356043238
LBRDK,3.9924154640261307
CAAP,4.07088122605363
SIEGY,4.072059444263039
OPOF,4.074534161490685
FOX,4.074868395398706
RYAAY,4.129077029840393
MMM,4.2161799261497155
BMI,4.268197438300523
IPI,4.318067490818863
JOYY,4.320358671285913
ANPDY,4.382789222439371
SSBK,4.3877258388299225
ONIT,4.40251572327044
DNKEY,4.452054794520548
TCEHY,4.4665761279613605
GBFH,4.499999999999993
TKOMY,4.511876349585179
EXE,4.53182272575809
NRIM,4.567255286679745
VSEC,4.682175137057337
HBCP,4.703595724003891
WOR,4.729950900163667
ULTA,4.730543898283954
NTDOY,4.828879512423805
NTB,4.895426338772686
GTX,4.928909952606648
BAP,4.942137508509184
SXT,4.9443252630503665
SIBN,4.966373512674585
BA,4.981718464351008
PAC,5.066244479626696
NEU,5.1940734875363574
TTWO,5.2106004352835775
MYFW,5.230914231856736
MGIC,5.231143552311442
NFLX,5.27078499536747
SWDBY,5.307971014492753
PUK,5.3749999999999964
MDWD,5.39880026660742
CVLT,5.407801418439719
ULS,5.4132631870414105
VRSN,5.432384154670586
TIPT,5.448997384481255
APH,5.463258785942502
RL,5.570254347902783
SGI,5.592503022974601
VEEV,5.598601206801969
HKXCY,5.60902255639098
AGI,5.686695278969956
ASTE,5.850673194614444
GME,5.861513687600644
HCSG,5.866302864938604
BWB,5.901639344262297
CIVB,5.918727915194346
XIACY,5.95408895265424
AS,5.963541666666665
RRC,5.970528455284557
ERJ,5.981155264235973
BAESY,5.982516845747581
KT,5.982905982905989
NC,5.987394957983196
CW,6.0490310328456065
PBI,6.086142322097382
OSIS,6.123161524025663
ADYEY,6.135902636916822
APG,6.168300653594778
WRLD,6.25
ENLT,6.311154598825844
KEP,6.381118881118869
CPA,6.393931183960984
FCFS,6.403903331554465
MIELY,6.405776846028418
EQH,6.420021762785636
HCMLY,6.423982869379015
NPSNY,6.435884934178452
EADSY,6.5164068908941735
DGICB,6.562847608453835
ITRN,6.58061250316376
IRTC,6.609894566098946
CICHY,6.708927628103538
AR,6.751963516594881
OMAB,6.795931945632537
NTGR,6.850649350649348
EHAB,6.8807339449541285
GILD,6.897463002114164
AAMI,6.904231625835183
OR,6.9927536231884035
AXSM,7.007943512797881
DSDVY,7.023357955679767
PODD,7.039095850864535
BHKLY,7.04475945976114
UI,7.047614487827064
SMSMY,7.058823529411754
NEON,7.063197026022302
RIVN,7.288828337874661
RGLD,7.312653235262764
TDS,7.346037006351846
STRT,7.41787354291769
LYV,7.4341021416804045
CIHKY,7.450381679389317
SII,7.542386309618124
ISBA,7.597535934291577
MTZ,7.624242424242432
BJRI,7.641921397379914
DBD,7.684805929393416
LLYVK,7.687379884689302
FROG,7.694013303769398
SGAPY,7.704758821625118
MSTR,7.723093290103601
SSYS,7.813953488372091
TCI,7.872174590802808
ASND,8.01560758082497
DBSDY,8.043654001616813
NCSM,8.05778491171749
TGLS,8.058445871153422
DAN,8.095781071835793
MELI,8.136782580237616
JBL,8.189775324747727
SSTI,8.207604103802048
TITN,8.27482447342027
CSGS,8.330867120449831
RNMBY,8.59190988223246
ROAD,8.796213609573144
BYDDF,8.800300864986836
PLPC,8.867738759435504
MIR,8.958837772397086
LOPE,9.083708727290727
TOST,9.084880636604773
AZEK,9.089229632366527
AVGO,9.162491052254829
DCTH,9.447004608294925
TME,9.45802337938364
CMP,9.489747257987595
LI,9.492635024549925
BH,9.568265682656829
DMYY,9.793814432989688
MOS,9.816927566993886
WWD,9.883058217587704
PRDO,9.913294797687861
ZS,9.919160310320084
CVNA,9.965000142275839
PERI,10.036832412523019
XNGSY,10.038045068773787
KFS,10.043352601156073
KTOS,10.052859016899463
DUOL,10.136960947621688
