Symbol,Nr_Of_Spikes
ADPT,1
ANGO,1
ATROB,1
BMI,1
BVN,1
CAR,1
CCHGY,1
CLBR,1
CMP,1
CPS,2
CTRN,1
DBSDY,1
DMYY,1
DOMO,1
DUOL,1
FROG,1
FTK,2
GME,1
GOGO,1
GRPN,1
HCSG,2
HIMS,1
IPI,1
IRTC,1
KARO,1
KEP,1
LEU,1
LSBK,1
LTBR,1
MIR,1
NEON,1
NXT,1
ODC,1
OPOF,1
PODD,1
PPTA,1
PRCH,1
PRDO,1
PRPO,1
QBTS,1
QNTM,1
SDGR,1
SSYS,1
SXT,1
TBPH,1
TME,1
TTMI,1
UI,1
UVV,1
VEEV,1
X,1
ZS,1
