Symbol,Price_Increase_Percentage,Screeners,Volume-Acceleration(%),RSI_12M,RSI_3M,Nr_Of_Spikes,MVP_Last_6Mo,Price_Tightness_1W,RSI_6M,Days_Traded
CAPN,5.226130653266345,5,,100.0,88.88888888888889,,,0.9680542110358145,100.0,155
DTSQ,5.120481927710841,5,,100.0,100.0,,,1.337153772683864,100.0,183
RIBB,5.025125628140704,5,,100.0,100.0,,,0.09910802775024566,100.0,65
FSHP,5.0100200400801596,5,,100.0,100.0,,,0.6679389312977126,100.0,204
BACQ,4.999999999999984,5,,100.0,100.0,,,0.485908649173945,100.0,129
DRDB,4.964539007092201,5,,95.23809523809533,95.23809523809533,,,0.8687258687258673,95.23809523809533,88
GIG,4.954499494438829,5,,100.0,100.0,,,0.48169556840077754,100.0,186
SIMA,4.924623115577892,5,,93.75000000000014,93.75000000000014,,,0.38314176245209913,93.75000000000014,193
JACS,4.828973843058355,5,,80.00000000000036,80.00000000000036,,,0.389483933787723,80.00000000000036,90
FACT,4.7715736040609205,5,,100.0,100.0,,,0.48875855327468926,100.0,115
HSPT,4.295704295704293,5,,100.0,100.0,,,0.39138943248533187,100.0,86
RDAC,4.104104104104105,5,,100.0,100.0,,,1.2500000000000075,100.0,129
FVN,4.020100502512566,5,,100.0,100.0,,,0.7729468599033823,100.0,148
AIFE,3.9433771486349722,5,,100.0,100.0,,,0.29498525073745685,100.0,93
EURK,3.892215568862281,5,,100.0,100.0,,,0.1923076923076882,100.0,185
NTWO,3.744939271255052,5,,100.0,100.0,,,0.4878048780487874,100.0,111
SVCC,3.6180904522613186,5,,100.0,100.0,,,1.9398642095053449,100.0,54
DMAA,3.2160804020100535,5,,83.33333333333358,83.33333333333358,,,0.491159135559911,83.33333333333358,73
PLMK,3.118712273641856,5,,100.0,100.0,,,0.7804878048780495,100.0,89
MLAC,3.118712273641856,5,,100.0,100.0,,,0.6829268292682955,100.0,88
HVII,3.058103975535157,5,,87.50000000000028,87.50000000000028,,,0.9891196834816979,87.50000000000028,85
AACB,2.7411167512690313,5,,100.0,100.0,,,0.29644268774702925,100.0,44
NHIC,2.738336713995957,5,,100.0,100.0,,,0.9871668311944859,100.0,36
FERA,2.735562310030409,5,,86.36363636363659,86.36363636363659,,,0.49309664694280775,86.36363636363659,35
GSHR,2.6130653266331816,5,,72.72727272727317,72.72727272727317,,,0.3976143141153173,72.72727272727317,20
RAC,2.5329280648429586,5,,84.21052631578976,84.21052631578976,,,0.5928853754940585,84.21052631578976,35
TDAC,2.400000000000002,5,,100.0,100.0,,,0.1958863858961934,100.0,80
ATII,2.309236947791151,5,,86.66666666666683,86.66666666666683,,,0.6869479882237516,86.66666666666683,46
BOBP,2.214930270713711,2,,,,,,1.645264847512039,,13
DEFR,2.2132796780683988,5,,64.28571428571423,64.28571428571423,,,1.2598425196850405,64.28571428571423,18
TVA,1.8036072144288546,5,,72.22222222222206,72.22222222222206,,,1.5748031496063006,72.22222222222206,16
UYSC,1.617795753286149,2,,,,,,0.39880358923229464,,10
COLA,1.507537688442215,5,,81.25000000000021,81.25000000000021,,,0.1980198019801938,81.25000000000021,59
QSEA,0.6024096385542039,5,,75.0,75.0,,,0.19960079840318934,75.0,20
PMVC,0.0,1,,,,,,,,188
