"Order","Symbol","Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating","% Off High","50-Day Avg Vol (1000s)","ETF/Closed-End Fund"
"1","A","Agilent Technologies","144.83","-0.75","-1.09","1674","-16.6","71","69","A","A","B","85","-9.63","2011","No"
"2","AA","Alcoa","63.81","-1.18","-0.76","11655","77.1","28","96","A+","C","A-","88","-4.69","6580","No"
"3","AACB","Artius II Acquisition","10.31","0","0","0","0","37","44","C-","-","B-","39","-0.29","25","No"
"4","AACG","ATA Creativity Global ADR","1.02","0.99","0.01","12","-40.5","63","38","D","D","D-","24","-60.45","20","No"
"5","AAGIY","AIA Group ADR","43.81","0.97","0.42","188","-28.8","56","87","B-","-","B+","-","-0.88","270","No"
"6","AAL","American Airlines Group","15.71","3.76","0.57","71323","25.8","17","84","A-","-","B+","48","-17.75","56690","No"
"7","AAM","AA Mission Acqn Cl A","10.68","0","0","53","-10.1","78","44","C-","-","B-","53","-1.02","62","No"
"8","AAME","Atlantic American","3.01","-0.33","-0.01","14","-47.2","80","91","C-","D","B-","86","-18.87","26","No"
"9","AAMI","Acadian Asset Management","54.52","3.38","1.78","202","-4.4","97","93","B-","A","A-","96","-0.85","222","No"
"10","AAOI","Applied Optoelectronics","37","7.34","2.53","5691","7.7","45","94","A+","C","B","87","-11.82","5285","No"
"11","AAON","AAON","90.04","2.5","2.2","894","-14.6","47","21","B","B","B-","43","-34.71","1047","No"
"12","AAP","Advance Auto Parts","42.72","-0.37","-0.16","1801","6.6","68","19","E","D","E","14","-38.97","1690","No"
"13","AAPG","Ascentage Pharma ADR","27.3","-3.6","-1.02","2","-45.2","5","46","A+","E","E","23","-43.65","4","No"
"14","AAPL","Apple","258.21","-0.67","-1.75","39388","-10.3","84","71","D","A","B-","78","-10.54","43915","No"
"15","AARD","Aardvark Therapeutics","15.35","2.47","0.37","158","-23.4","1","87","A+","-","B+","58","-21.6","206","No"
"16","AAT","American Assets Trust","18.69","1.03","0.19","343","-17.3","47","20","C-","C","D-","20","-26.01","415","No"
"17","AAUC","Allied Gold","27.12","-0.51","-0.14","689","0.3","84","94","A+","B","A+","99","-1.2","688","No"
"18","AB","AllianceBernstein","39.25","0.87","0.34","279","43.1","61","38","B-","-","B-","44","-9.35","195","No"
"19","ABAT","American Battery Tech","4.87","-8.38","-0.45","8083","16.8","43","97","A+","D","A","80","-57.66","6918","No"
"20","ABBNY","ABB ADR","76.36","1.54","1.16","164","-27.5","88","80","A-","-","B","-","-1.07","226","No"
"21","ABBV","AbbVie","216.75","-2.32","-5.14","6954","16.7","44","62","A-","B","B","67","-11.46","5957","No"
"22","ABCB","Ameris Bancorp","81.41","2.13","1.7","540","30.4","76","83","C-","B","B","82","1.75","439","No"
"23","ABCL","AbCellera Biologics","4.18","-2.56","-0.11","5318","19.5","17","67","A+","D","B-","50","-35.84","4449","No"
"24","ABEO","Abeona Therapeutics","5.45","5.01","0.26","1620","-7.2","68","32","A+","E","B+","60","-27.72","1747","No"
"25","ABEV","Ambev ADR","2.6","-0.38","-0.01","14824","-50.5","66","82","D-","B","D+","63","-1.33","29955","No"
"26","ABG","Asbury Automotive","248.5","1.22","2.99","86","-49.8","83","49","C-","B","B","67","-20.5","173","No"
"27","ABLV","Able View Global","0.74","5.71","0.04","53","-88.2","60","11","D","E","B","18","-58.19","450","No"
"28","ABM","ABM Industries","45.04","2.41","1.06","756","10.1","49","22","B","C","C","37","-17.96","687","No"
"29","ABNB","Airbnb","132.6","-0.14","-0.19","4662","-5.3","87","51","D-","A","B","71","-19.11","4920","No"
"30","ABOS","Acumen Pharmaceuticals","1.86","3.91","0.07","127","-30.3","13","82","A+","-","C+","54","-24.39","183","No"
"31","ABP","Abpro Holdings","3.56","-8.6","-0.34","10","-88.4","46","5","A+","-","C+","23","-91.7","86","No"
"32","ABR","Arbor Realty Trust","8.21","1.61","0.13","4223","17.2","25","9","B-","C","E","9","-42.7","3602","No"
"33","ABSI","Absci","3.05","-8.96","-0.3","4478","6.8","20","17","A","E","D-","13","-51.82","4194","No"
"34","ABT","Abbott Laboratories","123.53","-0.68","-0.84","7079","15.3","62","32","A-","A","B","66","-12.53","6140","No"
"35","ABTC","American Bitcoin","1.68","-4.55","-0.08","11559","-7.7","69","13","D+","-","B-","19","-88.53","12529","No"
"36","ABTS","Abits Group","5.5","-0.54","-0.03","3","-75.6","2","83","A","C","D-","40","-49.33","14","No"
"37","ABUS","Arbutus Biopharma","4.7","-1.67","-0.08","665","-43.7","62","85","A+","D","B-","82","-7.84","1183","No"
"38","ABVC","ABVC BioPharma","2.05","-1.44","-0.03","41","-39.7","6","93","A+","D","B-","50","-62.59","66","No"
"39","ABVE","Above Food Ingredients","2","-5.21","-0.11","710","-64.1","7","94","C","-","B","29","-69.51","1984","No"
"40","ABVX","Abivax ADR","116.8","-6.57","-8.21","3231","80.5","5","99","A+","D","D+","61","-21.52","1790","No"
"41","ABX","Abacus Global Management","8.46","-1.97","-0.17","422","-41","96","87","B-","A","B+","96","-11.97","716","No"
"42","ACA","Arcosa","115.77","3.14","3.52","351","49.9","95","85","B-","C","A+","97","-0.28","223","No"
"43","ACAD","ACADIA Pharmaceuticals","26.53","-1.23","-0.33","998","-29.2","46","89","A+","A","B+","92","-6.42","1445","No"
"44","ACAN","Americann","0","0","0","0","-96.2","2","1","B","-","D+","-","-99.92","7","No"
"45","ACB","Aurora Cannabis","4.24","-0.47","-0.02","797","-55","80","19","E","C","D-","29","-38.64","1772","No"
"46","ACCL","Acco Group Holdings","2.99","-0.33","-0.01","1441","1430.3","22","10","A-","A","A-","37","-40.2","94","No"
"47","ACCO","ACCO Brands","4.13","3.25","0.13","624","-21.5","32","46","C","C","C","28","-27.29","795","No"
"48","ACCS","ACCESS Newswire","9.77","-7.22","-0.76","38","108.6","80","46","D+","D","D+","52","-26.82","18","No"
"49","ACDC","ProFrac Holding Cl A","4.38","2.1","0.09","661","-48.5","4","15","A","E","B-","12","-59.07","1285","No"
"50","ACEL","Accel Entertainment","11.64","1.75","0.2","313","-22.4","65","53","D","B","B","60","-12.32","408","No"
"51","ACET","Adicet Bio","7.94","-4.22","-0.35","113","-32.1","21","7","A+","-","D+","19","-54.47","166","No"
"52","ACFN","Acorn Energy","19.95","-0.94","-0.19","2","-94.5","29","24","B-","B","B","33","-39.55","50","No"
"53","ACGL","Arch Capital Group","90.94","-0.38","-0.35","2472","16.6","92","38","C-","A","D","67","-6.82","2132","No"
"54","ACH","Accendra Health","2.53","-1.94","-0.05","823","-58.8","23","3","B","C","D-","3","-83.72","1998","No"
"55","ACHC","Acadia Healthcare","11.91","1.53","0.18","2637","-13.5","46","4","C+","C","C-","12","-73.89","3052","No"
"56","ACHR","Archer Aviation","8.86","-0.56","-0.05","55763","10.4","22","16","A","-","B+","30","-39.4","50491","No"
"57","ACHV","Achieve Life Sciences","5.59","-0.36","-0.02","297","-52.6","18","97","A+","-","A-","76","-3.29","629","No"
"58","ACI","Albertsons","17.38","-1.86","-0.33","10210","8.9","35","16","C","B","E","21","-25.09","9379","No"
"59","ACIC","Amer Coastal Insurance","11.25","-0.35","-0.04","191","26","60","46","C-","A","B-","67","-16.67","145","No"
"60","ACIU","AC Immune","3.63","-1.09","-0.04","387","-50.1","10","93","A+","E","B+","62","-9.25","778","No"
"61","ACIW","ACI Worldwide","43.49","-4.35","-1.98","971","30.5","69","17","D+","A","B-","44","-25.2","715","No"
"62","ACLS","Axcelis Technologies","96.5","3.52","3.28","526","-4.6","56","89","A+","C","D+","77","-6.25","551","No"
"63","ACLX","Arcellx","68.32","-2.2","-1.54","639","-39.6","2","20","A+","E","D+","18","-27.37","1058","No"
"64","ACM","AECOM","99.24","1.05","1.03","1113","-21.2","88","16","A-","B","E","42","-26.77","1413","No"
"65","ACMR","ACM Research Cl A","52.2","3.38","1.71","1652","16.5","69","96","A+","B","A-","97","-4.8","1419","No"
"66","ACN","Accenture Cl A","287.77","-0.27","-0.77","5743","47.3","79","51","C","B","B+","66","-27.76","3899","No"
"67","ACNB","ACNB","49.64","1.85","0.9","30","25","77","77","B-","A","A+","95","-7.06","24","No"
"68","ACNT","Ascent Industries","16.76","1.02","0.17","72","-15.1","29","88","A","E","A-","72","-0.48","81","No"
"69","ACOG","Alpha Cognition","5.82","-1.85","-0.11","66","-26.9","15","20","A+","-","D+","22","-49.57","91","No"
"70","ACON","Aclarion","4","-4.31","-0.18","252","-74.9","65","3","A+","E","E","23","-99.42","1007","No"
"71","ACR","Acres Commercial Realty","20.59","1.98","0.4","7","-79.9","39","62","B-","B","B+","66","-16.33","39","No"
"72","ACRE","Ares Cmcl Real Estate","5.09","2.41","0.12","680","21.4","29","69","B-","E","C-","40","-16.49","560","No"
"73","ACRS","Aclaris Therapeutics","2.67","-2.55","-0.07","501","-60.5","18","92","A","E","A-","60","-23.17","1230","No"
"74","ACRV","Acrivon Therapeutics","1.87","2.19","0.04","1258","-25.5","21","23","A+","-","C-","21","-76.63","1691","No"
"75","ACT","Enact Holdings","38.66","0.94","0.36","244","-9.9","60","64","B+","A","C","70","-6.51","272","No"
"76","ACTG","Acacia Research","3.77","-1.31","-0.05","164","-22","23","49","B-","B","B","49","-16.78","211","No"
"77","ACTU","Actuate Therapeutics","5.32","1.14","0.06","58","-22.8","31","9","A+","-","D+","23","-55.63","75","No"
"78","ACU","Acme United","43.92","1.43","0.62","3","-55.2","42","67","C","C","B+","59","-2.94","8","No"
"79","ACVA","ACV Auctions","8.98","1.58","0.14","1765","-58.2","76","10","C-","C","A-","49","-60.04","4226","No"
"80","ACXP","Acurx Pharmaceuticals","2.69","-1.82","-0.05","57","-16.7","50","2","A+","-","D-","19","-87.19","68","No"
"81","AD","Array Digital Infr","55.87","-2.31","-1.32","409","64.4","80","74","B","C","B-","91","-29.43","238","No"
"82","ADAG","Adagene ADR","1.92","6.67","0.12","72","8.9","35","64","A+","E","B+","56","-39.24","137","No"
"83","ADAM","Adamas Trust","8.45","3.81","0.31","671","-0.1","32","87","B-","E","A-","61","3.3","672","No"
"84","ADAPY","Adaptimmune Therap ADR","0.03","2.27","0","3975","30.5","13","1","A+","D","B","19","-95.65","2992","No"
"85","ADBE","Adobe","304.09","-0.11","-0.35","4774","18.5","90","15","E","A","D-","41","-34.7","4030","No"
"86","ADC","Agree Realty","72.01","-0.41","-0.3","1280","8","52","24","C-","B","D+","44","-9.59","1186","No"
"87","ADCT","ADC Therapeutics","3.55","-4.31","-0.16","491","-60.2","26","92","A+","-","C","56","-26.04","1232","No"
"88","ADDYY","adidas ADR","93.99","0.53","0.5","58","-41.9","62","14","D+","-","D+","-","-31.52","101","No"
"89","ADEA","Adeia","19.17","1.11","0.21","575","-40.3","30","87","A","A","A","83","-2.02","963","No"
"90","ADGM","Adagio Medical Holdings","0.93","5.8","0.05","84","-54.6","3","9","A-","-","D-","10","-67.6","186","No"
"91","ADI","Analog Devices","302.1","1.38","4.11","4086","5.8","87","87","A+","A","A-","98","-0.36","3861","No"
"92","ADIL","Adial Pharmaceuticals","0.23","1.66","0","275","-20.3","54","4","A+","-","D","23","-82.54","346","No"
"93","ADM","Archer Daniels Midland","66.57","3.05","1.97","5085","56.6","31","79","D+","D","A-","52","1.32","3247","No"
"94","ADMA","ADMA Biologics","17.5","-4.27","-0.78","3137","4.6","40","49","A+","A","C","66","-31.83","3000","No"
"95","ADNH","Advent Technologies","0.43","-12.21","-0.06","8","-57.1","20","88","A+","E","B","47","-93.82","20","No"
"96","ADNT","Adient","23.41","-0.81","-0.19","1575","16.6","82","85","B+","D","A-","85","-10.51","1308","No"
"97","ADP","Automatic Data","260.2","0.66","1.7","2054","-8","81","18","D","A","E","42","-21.13","2231","No"
"98","ADPT","Adaptive Biotechnologies","17.78","-1.44","-0.26","1036","-61","64","94","A+","D","A-","95","-14.35","2543","No"
"99","ADRNY","Koninklijke Ahold ADR","39.62","-0.19","-0.08","87","77.6","76","29","C+","-","C","-","-8.31","49","No"
"100","ADSE","ADS-TEC Energy","11.59","-2.77","-0.33","44","66","52","32","A-","E","B","42","-29.11","26","No"
"101","ADSK","Autodesk","262.26","0.38","0.98","1773","17.3","97","19","E","A","D-","59","-20.31","1512","No"
"102","ADT","ADT","8.28","0.36","0.03","6286","-1","95","41","C-","B","B","71","-7.33","6351","No"
"103","ADTN","Adtran Holdings","9.09","3.77","0.33","1569","7.5","72","32","A+","D","A","77","-26.93","1460","No"
"104","ADTX","Aditxt","0.74","1.58","0.01","162","-91.3","65","1","A+","E","D-","17","-99.99","1872","No"
"105","ADUR","Aduro Clean Technologies","13.99","-4.11","-0.6","788","68.8","2","95","B-","E","B+","50","-20.78","467","No"
"106","ADUS","Addus HomeCare","109.8","-0.59","-0.65","257","44.3","92","23","C+","B","C+","66","-19.69","182","No"
"107","ADV","Advantage Solutions","0.82","2.56","0.02","449","-48","70","5","B","E","C","21","-72.24","825","No"
"108","ADVB","Advanced Biomed","0.32","-3.71","-0.01","18","-96.4","9","4","A","-","D+","9","-92.28","685","No"
"109","ADXN","Addex Therapeutics ADR","8.1","-1.34","-0.11","1","-77.8","17","20","A+","E","B-","25","-32.78","6","No"
"110","ADYEY","Adyen ADR","16.24","1.25","0.2","751","2.3","98","26","D-","-","B","-","-18.54","744","No"
"111","ADYYF","Adyen","1653","3.41","54.5","0","0","98","32","D-","-","C-","-","-18.17","0","No"
"112","AEBI","Aebi Schmidt Holding","14.81","2.35","0.34","187","-6.2","8","90","A+","B","B","58","-55.12","201","No"
"113","AEC","Anfield Energy","7.43","15.02","0.97","195","110.4","7","22","A+","-","B+","30","-40.51","93","No"
"114","AEE","Ameren","103.24","0.68","0.7","1083","-34.6","78","44","D+","A","C-","66","-3.27","1755","No"
"115","AEG","Aegon ADR","7.7","-1.03","-0.08","2789","-42.5","80","64","C+","D","C","73","-5.52","4852","No"
"116","AEHL","Antelope Enterprise","1.39","4.51","0.06","118","-97.7","60","3","B-","D","E","15","-83.49","5248","No"
"117","AEHR","Aehr Test Systems","26.53","2.16","0.56","942","13.9","11","95","A+","C","B","68","-22.77","827","No"
"118","AEI","Alset","3.07","4.07","0.12","27","-29.7","4","98","B","C","B","50","-32.53","39","No"
"119","AEIS","Advanced Energy Inds","257.29","8.15","19.39","1063","131.7","87","96","A+","B","B","98","7.69","459","No"
"120","AEM","Agnico-Eagle Mines","200.42","1.59","3.14","1990","-16.2","98","93","A+","A","B","99","-0.76","2373","No"
"121","AEMD","Aethlon Medical","2.71","3.48","0.09","43","-66.8","54","1","B+","-","C","15","-95.77","134","No"
"122","AENT","Alliance Ent Hldg","7.6","-0.13","-0.01","31","-47.9","80","93","A-","C","B","96","-13.64","61","No"
"123","AEO","American Eagle Outfitters","25.81","0.51","0.13","6016","-23.6","56","96","A","C","B-","83","-9.31","7873","No"
"124","AEON","AEON Biopharma","1.15","3.84","0.04","212","-7","29","80","A+","-","B-","46","-90.18","219","No"
"125","AEP","American Elec Power","119.4","1.09","1.29","3085","-9.3","70","60","C+","B","D+","66","-4.33","3404","No"
"126","AER","AerCap Holdings","143.63","1.26","1.79","721","-41.1","90","86","C+","A","B-","92","-3.76","1255","No"
"127","AERG","Applied Energetics","1.85","2.21","0.04","151","36.1","2","90","A","-","C-","-","-38.13","109","No"
"128","AERO","Grupo Aeromexico ADR","19.86","3.44","0.66","272","-43.7","7","26","A-","-","E","14","-13.84","492","No"
"129","AERT","Aeries Technology","0.54","1.36","0.01","52","-59.5","80","11","C","-","B","26","-64.61","130","No"
"130","AES","AES","14.44","3.14","0.44","14605","88.7","84","67","C+","C","B-","73","-6.9","7739","No"
"131","AESI","Atlas Energy Solutions","10.93","2.34","0.25","1583","-46.4","6","14","A","C","B-","19","-59.31","2962","No"
"132","AEVA","Aeva Technologies","19.82","-4.2","-0.87","6667","128.9","32","97","B+","D","A-","67","-48.92","2912","No"
"133","AEXA","Amer Exceptionalism Acqn","11.78","1.64","0.19","330","27.9","1","55","C-","-","A","36","-1.09","258","No"
"134","AEYE","AudioEye","9.66","1.05","0.1","102","2.4","66","10","D","A","E","34","-53.04","102","No"
"135","AFBI","Affinity Bancshares","20.3","0.74","0.15","1","-75.1","92","60","C-","C","D+","68","-9.78","4","No"
"136","AFCG","Advanced Flower Capital","2.43","0","0","317","-11.9","16","5","E","C","E","1","-72.64","360","No"
"137","AFG","American Financial Group","131.9","0.72","0.94","367","-16.6","66","38","C-","B","B+","54","-12.08","425","No"
"138","AFJK","Aimei Health Technology","46.01","-18.7","-10.58","21","-91.7","18","99","C-","-","B-","38","-64.71","261","No"
"139","AFL","Aflac","109.61","-0.52","-0.57","2138","-6.9","75","46","D","A","B-","67","-5.37","2332","No"
"140","AFRI","Forafric Global","10.37","0","0","15","-8.7","2","78","D+","E","B-","33","-9.19","17","No"
"141","AFRM","Affirm Holdings Cl A","71.81","-1.1","-0.8","4515","-17.1","80","79","D-","C","C","74","-28.19","5443","No"
"142","AFYA","Afya","14.39","-1.17","-0.17","141","53","91","20","D","A","D","47","-27.69","95","No"
"143","AG","First Majestic Silver","20.34","2.57","0.51","24568","24.9","80","98","A+","C","A-","97","-3.67","19670","No"
"144","AGAE","Allied Gaming & Ent","0.36","-4.02","-0.02","720","-10","5","3","D","E","D+","1","-90.56","801","No"
"145","AGCC","Agencia Comercial Spirits","11.27","-4.63","-0.55","192","17.5","22","96","D-","C","A","59","-23.42","164","No"
"146","AGCO","AGCO","113.27","1.01","1.13","579","-17.7","58","67","D-","D","C","46","-6.51","706","No"
"147","AGEN","Agenus","3.68","-21.37","-1","3180","378.5","68","53","A+","-","C+","56","-49.86","664","No"
"148","AGH","Aureus Greenway Holdings","3.9","-0.64","-0.03","207","270.6","2","99","D","E","B+","32","-52.79","53","No"
"149","AGI","Alamos Gold","40.3","-6.26","-2.69","6464","152.2","97","89","A+","A","C-","99","-8.13","2563","No"
"150","AGIG","Abundia Global Impact","2.87","-16.81","-0.58","1709","231.8","9","3","B-","E","A-","9","-91.03","515","No"
"151","AGIO","Agios Pharmaceuticals","27.8","-3.24","-0.93","805","-55.4","8","12","A+","B","B","37","-39.57","1804","No"
"152","AGL","agilon health","1.02","5.32","0.05","4099","-56.4","13","7","B","D","A-","10","-83.22","9392","No"
"153","AGM","Fed Agric Mtg Cl C","170.13","1.56","2.61","94","1","89","32","B+","B","D+","65","-19.84","93","No"
"154","AGMA","Fed Agric Mtg Cl A","128.8","-0.92","-1.2","6","1029.3","89","32","B+","A","E","64","-19.68","0","No"
"155","AGMH","AGM Group Holdings","2","0.5","0.01","12","-62.2","80","6","C+","A","D","36","-97.33","32","No"
"156","AGNC","AGNC Investment","11.68","0.95","0.11","19753","-0.2","39","82","B-","C","A+","85","0.34","19784","No"
"157","AGO","Assured Guaranty","85.56","0.14","0.12","313","-10.8","67","44","C-","B","C","54","-11.33","338","No"
"158","AGPU","Axe Compute","7.08","3.21","0.22","3864","2964.7","36","6","E","D","C","4","-81.85","126","No"
"159","AGRO","Adecoagro","8.43","-1.17","-0.1","1042","6.9","24","21","C","B","B-","22","-28.47","931","No"
"160","AGRZ","Agroz","0.5","-2.14","-0.01","135","-51.8","80","1","C","A","E","29","-93","280","No"
"161","AGX","Argan","329.66","3.74","11.9","248","-29.1","93","93","A-","A","D-","90","-17.44","350","No"
"162","AGYS","Agilysys","114.62","1.69","1.91","194","17.8","91","62","D+","A","E","71","-21.09","165","No"
"163","AHCHY","Anhui Conch Cement","14.83","0.47","0.07","10","-28.9","70","41","C+","-","A-","-","-10.9","15","No"
"164","AHCO","AdaptHealth","10.64","0.95","0.1","790","-28.2","25","75","C+","D","B-","47","-8.51","1101","No"
"165","AHG","Akso Health Group ADR","1.53","8.13","0.12","21","26.4","2","38","B+","D","B-","30","-27.14","17","No"
"166","AHH","Armada Hoffler Properties","7.05","0.14","0.01","910","1.1","63","26","C-","D","C+","28","-31.29","908","No"
"167","AHKSY","Asahi Kasei ADR","18.68","-0.27","-0.05","36","184.4","43","85","C","-","B","-","-1.08","13","No"
"168","AHL","Aspen Insurance Holdings","37.32","0.13","0.05","1279","324.1","87","51","C-","B","C","66","-0.09","298","No"
"169","AHMA","Ambitions Enterprise Mgmt","29.38","89.55","13.88","2855","30.1","33","99","D-","C","B-","61","61.43","2194","No"
"170","AHR","American Healthcare REIT","47.98","0.67","0.32","2024","-0.1","80","87","C-","D","B+","79","-5.95","2027","No"
"171","AHT","Ashford Hospitality Tr","4.55","6.06","0.26","102","-52.5","16","11","C-","-","B-","5","-56.04","223","No"
"172","AI","C3.ai","13.53","-2.73","-0.38","4715","-23.2","2","7","B+","D","B-","7","-62.4","6139","No"
"173","AIFF","Firefly Neuroscience","1.04","0","0","75","-57","42","2","C","D","E","8","-93.95","176","No"
"174","AIFU","AIFU","2.68","-1.83","-0.05","35","137.3","5","99","E","C","D+","27","-74.99","13","No"
"175","AIG","American Intl Group","74.03","1.36","0.99","7061","34.3","95","22","B-","C","D+","57","-15.94","5257","No"
"176","AIHS","Senmiao Technology","1.02","0","0","22","-36.5","41","2","D+","E","E","6","-94","35","No"
"177","AII","Amer Integrity Ins","19.03","0.16","0.03","136","-36.1","81","27","C-","A","B-","68","-27.81","204","No"
"178","AIIA","AI Infrastructure Acqn","9.98","0.2","0.02","685","323.8","5","38","C-","-","-","21","-2.54","161","No"
"179","AIIO","Robo.ai","0.27","-1.55","0","911","-87","58","2","A","E","E","12","-92.18","7014","No"
"180","AIJTY","Jianpu Technology ADR","1.09","0","0","0","0","56","9","B","D","B","27","-64.61","-","No"
"181","AIM","AIM ImmunoTech","1.34","2.29","0.03","67","-39.1","28","1","A+","E","C","10","-96.27","111","No"
"182","AIMD","Ainos","1.93","0.73","0.01","10","-67.2","48","6","A","D","C","31","-59.37","30","No"
"183","AIN","Albany International","58.52","0.29","0.17","180","-58.4","29","19","D+","D","B+","19","-30.04","433","No"
"184","AIOT","PowerFleet","5.65","0.89","0.05","1399","1.9","50","55","C-","C","A-","54","-35.13","1310","No"
"185","AIP","Arteris","17.37","1.58","0.27","695","16.4","17","94","B+","D","A","72","-12.49","598","No"
"186","AIR","AAR Corp","105.74","4.61","4.66","482","3.7","98","90","A","B","A+","97","4.24","465","No"
"187","AIRE","reAlpha Tech","0.46","-3.18","-0.02","2457","-63.4","2","78","B","D","B-","36","-78.01","6742","No"
"188","AIRG","Airgain","4.12","1.73","0.07","39","-8.3","24","20","A+","D","B+","33","-51.36","44","No"
"189","AIRI","Air Industries Group","3.31","-1.49","-0.05","91","-41.5","28","23","A","E","B","32","-28.66","155","No"
"190","AIRJ","AirJoule Technologies","3.51","2.33","0.08","1251","165.6","6","7","B","-","C-","7","-62.3","469","No"
"191","AIRO","AIRO Group Holdings","13.2","-0.23","-0.03","660","-16.1","67","7","A","C","B+","40","-66.21","787","No"
"192","AIRS","AirSculpt Technologies","2.22","-3.06","-0.07","1102","-16.1","4","5","A-","E","D-","4","-81.5","1313","No"
"193","AIRT","Air T","20.25","2.79","0.55","1","6.4","31","32","B+","E","C-","32","-24.16","1","No"
"194","AISP","Airship AI Holdings","3.6","15.02","0.47","2207","153.3","12","10","D","-","B+","6","-50","871","No"
"195","AIT","Applied Indl Techs","282.47","1.75","4.85","258","-3.6","87","71","D+","B","B+","83","-0.44","273","No"
"196","AIV","Apartment Invt & Mgmt","5.93","0","0","1045","-47.7","39","41","C-","E","B+","39","-36.17","1999","No"
"197","AIXC","AIxCrypto Holdings","2.36","-5.98","-0.15","63","-59.4","27","8","A+","-","B","24","-73.21","150","No"
"198","AIXI","XIAO-I ADR","0.35","0.52","0","161","-33.3","80","1","D","-","E","9","-94.32","231","No"
"199","AIZ","Assurant","237.45","-0.23","-0.55","340","9.8","92","77","B-","B","B","89","-2.59","314","No"
"200","AJG","Gallagher","256.15","-0.32","-0.83","2452","47.1","74","16","E","A","E","41","-27.07","1667","No"
"201","AKA","a.k.a. Brands Holding","11.8","6.76","0.75","6","-15.6","9","27","A","D","B-","25","-35.89","9","No"
"202","AKAM","Akamai Technologies","91.53","0.97","0.88","3259","-2","82","77","D","A","B-","79","-11.78","3327","No"
"203","AKAN","Akanda","1.31","-19.14","-0.31","898","3.3","58","1","E","E","E","5","-97.18","870","No"
"204","AKBA","Akebia Therapeutics","1.34","-2.9","-0.04","2478","-36.3","80","5","A+","-","E","34","-67.15","3892","No"
"205","AKOA","Embotell Andina A ADR","23.5","-4.08","-1","0","-82.7","93","88","C+","C","B-","82","-8.99","1","No"
"206","AKOB","Embotell Andina B ADR","29.1","-2.02","-0.6","3","-79.3","93","85","C+","C","B+","85","-4.59","18","No"
"207","AKR","Acadia Realty Trust","20.96","-0.24","-0.05","888","-32.4","14","49","C-","C","C","36","-15.99","1350","No"
"208","AKTS","Aktis Oncology","20.56","-1.2","-0.25","235","-76.7","0","1","A+","D","-","25","-29.49","1008","No"
"209","AKTX","Akari Therapeutics ADR","0.27","-0.07","0","400","-70.2","22","1","A+","-","B-","16","-84.55","1350","No"
"210","AKZOY","Akzo Nobel ADR","23.05","0.26","0.06","598","458","40","49","D-","-","B-","-","-5.48","107","No"
"211","AL","Air Lease","64.35","0.16","0.1","1403","-24.3","78","79","C+","B","B","87","-0.08","1774","No"
"212","ALAB","Astera Labs","174.45","1.34","2.31","3906","-31","81","93","B+","A","C","93","-33.64","5661","No"
"213","ALAR","Alarum Technologies ADR","9.36","-2.8","-0.27","32","-58.3","13","14","E","B","B","14","-48","77","No"
"214","ALB","Albemarle","173.78","-2.12","-3.77","3143","-10.8","69","97","C","E","A-","77","-2.99","3523","No"
"215","ALBT","Avalon GloboCare","1.14","1.79","0.02","61","-38.1","52","3","A+","E","B-","22","-90.22","99","No"
"216","ALC","Alcon","79.67","-0.55","-0.44","1125","-37.6","70","24","B+","B","C+","52","-19.69","1723","No"
"217","ALCO","Alico","39.24","3.32","1.26","32","22.1","18","78","C","E","B+","45","-0.08","26","No"
"218","ALCY","Alchemy Inv Acqn 1 Cl A","11.87","-0.21","-0.03","64","13.2","5","44","C-","-","E","13","-25.35","57","No"
"219","ALDF","Aldel Financial II Cl A","10.52","-0.14","-0.02","1","-82.2","37","44","C-","-","A","46","-1.61","11","No"
"220","ALDX","Aldeyra Therapeutics","4.41","4.01","0.17","835","-22.7","43","57","A+","-","C-","49","-38.75","1081","No"
"221","ALEAF","Aleafia Health","0","-","0","0","0","47","1","E","-","D+","-","-100","21","No"
"222","ALEC","Alector","1.82","-1.62","-0.03","2105","38.8","34","51","A+","E","B+","46","-46.47","1545","No"
"223","ALEX","Alexander & Baldwin","20.83","0.29","0.06","441","-53.8","83","80","B","C","C-","79","-0.95","979","No"
"224","ALF","Centurion Acqn Cl A","10.67","0","0","3","-85.9","31","41","C-","-","B+","41","-0.26","26","No"
"225","ALG","Alamo Group","193.05","1.24","2.37","119","-3.8","71","46","D-","C","A-","53","-17.25","125","No"
"226","ALGM","Allegro MicroSystems","32.69","1.36","0.44","4187","120.1","83","83","B+","D","B+","88","-14.98","1903","No"
"227","ALGN","Align Technology","171.47","1.32","2.24","907","-28.3","63","51","B+","B","B","63","-27.72","1265","No"
"228","ALGS","Aligos Therapeutics","8.26","-8.73","-0.79","86","14.9","15","18","A+","E","D-","10","-75.97","76","No"
"229","ALGT","Allegiant Travel","88.87","2.75","2.38","469","16","51","90","A-","D","B+","74","-17.38","386","No"
"230","ALH","Alliance Laundry Holdings","22.22","1.65","0.36","647","-37","93","17","E","A","C","55","-19.14","1142","No"
"231","ALHC","Alignment Healthcare","22.5","3.47","0.76","4315","67.4","80","89","B-","D","A+","93","0.45","2577","No"
"232","ALIS","Calisa Acquisition","9.95","-0.2","-0.02","0","-99.2","22","32","C-","-","-","29","-0.2","50","No"
