Symbol,Volume-Acceleration(%)
ALF,141.27
BEAG,54.99
CEPO,60.45
CEP,397.02
EQV,75.75
GSRT,105.95
HOND,100.19
MBAV,213.98
PRMB,55.61
PTHL,180.04
SBXD,126.94
TIC,57.42
TVRD,81.31
VCIC,61.33
