2025-03-18 22:44:28,465 - INFO - Base directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer
2025-03-18 22:44:28,466 - INFO - HTML pages directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\html_pages
2025-03-18 22:44:28,466 - INFO - Progress file: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\progress.csv
2025-03-18 22:44:28,466 - INFO - Tickers file: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\price_data\all_tickers_historical.csv
2025-03-18 22:44:28,467 - INFO - Last run directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\last_run
2025-03-18 22:44:33,121 - INFO - Read 2320007 tickers from c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\price_data\all_tickers_historical.csv
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,504 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,505 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,506 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,507 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,508 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,509 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,509 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,509 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,509 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,510 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,510 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,510 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,510 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
